"","Zipcode","Population2017","Male2017","Female2017","Bachelor_total17","Hispanic17","PerCapital_income17","MedHomeValue17","Med_House_income17","Belov_Poverty_percent17","White17","Black17","Asian17"
"1044",77706,29249,14555,14694,8725,26698,"41760","167200","63261","9.5",18989,7930,1742
"1045",77707,17954,8524,9430,2805,14714,"27014","104400","52611","14.9",10465,6291,558
"1046",77708,12288,5699,6589,1542,11259,"25108","101700","45552","17.3",3563,8395,115
"1047",77713,14402,7482,6920,2984,12535,"32384","139900","60127","9.7",8776,4663,426
"1048",77801,16759,9029,7730,2422,9964,"15959","106000","32060","41.7",10158,2281,1022
"1049",77802,26185,12236,13949,8124,20356,"32204","160900","54451","12.1",21430,1849,811
"1050",77803,30609,15146,15463,1515,12863,"17760","84900","37895","25.4",17544,6986,39
"1051",77807,10288,5891,4397,1530,6689,"24976","157100","59004","20.2",7681,1305,71
"1052",77808,10849,5574,5275,2415,8573,"33783","187800","69038","10.0",9242,525,14
"1053",77830,2830,1485,1345,415,2450,"42911","180600","57422","3.6",2414,259,0
"1054",77831,3115,1646,1469,376,2920,"31984","126100","47565","22.2",2763,292,0
"1055",77833,29060,13903,15157,4881,23917,"27040","173200","54721","14.2",23252,4156,624
"1056",77835,2603,1466,1137,708,2444,"33205","122900","66304","2.6",2082,476,2
"1057",77836,12022,6103,5919,1427,9530,"27416","108900","57215","13.2",9639,1336,59
"1058",77837,1889,848,1041,177,1614,"17802","95400","35950","29.4",966,754,3
"1059",77840,59673,31056,28617,9323,48885,"14609","167800","23426","49.4",44376,5693,6354
"1060",77845,59512,29353,30159,21103,52925,"38080","224000","76230","12.6",49579,3520,4616
"1061",77853,1287,670,617,201,983,"27918","103900","60690","9.7",793,240,103
"1062",77856,5037,2490,2547,795,4778,"26190","115900","46212","12.4",4408,468,35
"1063",77857,664,355,309,85,542,"33507","201700","52188","15.5",503,83,51
"1064",77859,7393,3744,3649,592,4733,"22227","84900","57226","14.2",5395,1683,0
"1065",77861,2452,1148,1304,344,2025,"31679","131100","58135","12.4",2332,17,5
"1066",77864,6935,3134,3801,826,5514,"22019","96900","42609","17.1",5442,946,126
"1067",77865,1778,951,827,217,1577,"47966","112000","45293","7.6",1693,0,50
"1068",77867,93,50,43,8,67,"22311","84100","40833","14.0",34,52,0
"1069",77868,17027,9877,7150,1525,11704,"17706","108700","48051","23.2",11832,3758,23
"1070",77871,2568,1307,1261,597,2306,"31153","132500","50500","12.1",2401,126,0
"1071",77872,1577,763,814,169,1415,"25566","102000","44444","11.8",1554,0,0
"1072",77873,1268,557,711,167,1092,"22155","84100","36875","16.6",1021,177,0
"1073",77879,5251,2485,2766,574,4245,"26838","84600","48792","17.8",4000,838,0
"1074",77880,1397,895,502,265,1397,"51747","112800","54255","15.5",782,574,0
"1075",77901,43424,21103,22321,3688,16090,"21377","89700","44663","21.3",36571,3846,403
"1076",77904,27570,13210,14360,6286,19647,"38295","174300","74694","8.7",24537,956,589
"1077",77905,14326,7470,6856,1743,10396,"31325","142700","71619","7.9",13147,617,4
"1078",77950,173,85,88,35,107,"32039","97500","49375","12.2",161,0,0
"1079",77951,2059,1062,997,67,516,"14678","48800","33977","14.8",1820,239,0
"1080",77954,12256,6625,5631,1159,8025,"24983","112400","59512","17.4",8086,1602,1
"1081",77957,8494,4094,4400,1169,5924,"26377","103200","53019","14.7",7083,964,35
"1082",77961,252,95,157,49,252,"45613","111200","96378","0.0",252,0,0
"1083",77962,3178,1516,1662,281,1991,"26104","97400","56270","16.6",2832,82,9
"1084",77963,5991,2952,3039,802,3688,"27842","121300","54010","16.1",4242,401,12
"1085",77964,8269,3958,4311,1080,7397,"31006","159600","52313","12.0",6960,545,35
"1086",77968,3054,1469,1585,531,2522,"32544","174000","68468","11.7",3015,0,0
"1087",77969,158,100,58,14,69,"20281","-","-","0.0",140,18,0
"1088",77970,378,232,146,35,201,"31469","-","51792","9.0",351,3,0
"1089",77971,1078,545,533,137,650,"31571","82800","79702","15.2",1036,0,0
"1090",77974,382,181,201,58,234,"34002","162500","97143","10.7",359,0,0
"1091",77975,1942,893,1049,180,1551,"32661","123600","63333","11.9",1578,0,36
"1092",77976,89,57,32,12,75,"30301","147900","-","5.6",74,7,0
"1093",77977,747,372,375,16,72,"17444","59200","33659","12.9",697,33,0
"1094",77978,774,441,333,50,448,"26942","76100","62143","10.7",666,36,7
"1095",77979,17526,8733,8793,2023,8259,"27322","110800","59675","15.4",14962,533,1030
"1096",77982,1070,607,463,132,789,"26249","186600","59938","9.5",992,0,0
"1097",77983,2351,1158,1193,203,1733,"24054","150500","48971","24.0",2167,11,66
"1098",77984,3954,1983,1971,634,3693,"34788","163600","51652","8.6",3493,262,3
"1099",77987,352,169,183,46,232,"26864","88500","75313","3.4",256,3,0
"1100",77990,864,425,439,100,469,"19816","80800","41791","32.5",786,4,5
"1101",77994,508,255,253,79,356,"30697","-","35500","22.4",386,0,0
"1102",77995,9847,4868,4979,903,6209,"25401","96700","46958","10.0",5949,754,0
"1103",78001,0,0,0,0,0,"-","-","-","-",0,0,0
"1104",78002,7904,4148,3756,356,2190,"17762","103700","44907","21.3",7199,52,0
"1105",78003,8958,4278,4680,1566,7167,"29498","171800","59181","19.9",8390,67,14
"1106",78004,879,397,482,256,834,"43234","339300","112946","7.6",826,0,53
"1107",78006,31709,15392,16317,9708,25177,"41553","295700","79196","5.5",29392,287,120
"1108",78007,165,90,75,9,84,"22585","106300","71250","4.8",165,0,0
"1109",78008,210,97,113,68,68,"89187","108900","117833","11.4",210,0,0
"1110",78009,8910,4442,4468,1208,4492,"27774","152100","57744","15.8",8346,67,49
"1111",78010,3401,1688,1713,502,2255,"26795","163100","53333","22.0",2520,9,26
"1112",78011,2030,936,1094,96,691,"17794","47100","40705","20.7",1872,13,0
"1113",78013,6574,3287,3287,718,3711,"28855","161500","73264","11.4",5808,0,17
"1114",78014,5616,3377,2239,586,877,"29869","73900","42741","9.7",3954,85,10
"1115",78015,13897,6882,7015,5742,10892,"48455","415200","121287","2.1",11996,185,227
"1116",78016,8895,4369,4526,1004,4351,"23182","94000","49955","16.7",8120,55,0
"1117",78017,5514,3424,2090,337,1675,"13003","51100","37292","22.8",3946,485,31
"1118",78019,1505,771,734,98,226,"15163","54300","41875","3.9",1358,15,0
"1119",78021,342,245,97,16,337,"19682","-","-","1.5",342,0,0
"1120",78022,4286,2012,2274,394,2508,"23719","89400","51000","12.3",4131,18,0
"1121",78023,29872,14789,15083,9950,18115,"41784","283900","122706","3.6",24462,1027,2016
"1122",78024,1332,703,629,608,1194,"37138","280400","49805","6.8",1237,0,95
"1123",78025,4523,2241,2282,727,3558,"23878","111200","49099","16.0",4292,35,8
"1124",78026,6094,3214,2880,292,2549,"22302","76800","53342","12.1",5773,10,99
"1125",78027,569,220,349,225,569,"40950","327700","99130","0.0",445,0,124
"1126",78028,39626,18908,20718,8187,29536,"29132","166000","47868","13.0",36173,705,381
"1127",78029,0,0,0,0,0,"-","-","-","-",0,0,0
"1128",78039,1528,730,798,283,746,"31418","88500","58047","8.1",1435,15,0
"1129",78040,42324,20623,21701,1729,763,"9942","74900","24622","47.2",40428,153,94
"1130",78041,46671,22970,23701,6729,2683,"20033","146200","41912","29.4",44218,283,422
"1131",78043,44762,21635,23127,3177,1345,"14218","94900","33252","35.7",43073,118,239
"1132",78045,64705,30961,33744,12521,5624,"24672","164900","67787","12.4",61461,342,647
"1133",78046,69471,34543,34928,2504,1549,"11163","84900","33839","38.3",65755,193,5
"1134",78052,6838,3259,3579,660,2608,"22883","109400","61827","12.7",6613,0,0
"1135",78055,1945,1058,887,322,1716,"21333","165600","43702","23.5",1812,133,0
"1136",78056,2131,1019,1112,781,1658,"44478","348200","96324","2.9",1684,141,19
"1137",78057,627,399,228,112,106,"26717","-","33309","32.1",564,0,0
"1138",78058,1032,695,337,339,749,"36720","-","86875","5.4",893,0,2
"1139",78059,6131,2826,3305,773,2280,"26463","133200","62885","11.4",5788,100,57
